ParticipantID,MotionParallax,TrialNumber,Time,headPositionX,headPositionY,headPositionZ,headRotationX,headRotationY,headRotationZ
sef,1,1,0,0.04238067,2.890632,-15.4362,357.5271,0.8355213,0.2363316,
sef,1,1,0.02,0.04238067,2.890632,-15.4362,357.5271,0.8355213,0.2363316,
sef,1,1,0.3533334,0.04238379,2.890617,-15.43619,357.5265,0.8368077,0.2362868,
sef,1,1,0.4355468,0.04124257,2.892783,-15.43736,357.007,0.8368269,0.4608791,
sef,1,1,0.468881,0.04124552,2.892346,-15.43713,357.0142,0.8319539,0.4537354,
sef,1,1,0.4732547,0.04125167,2.892382,-15.43715,357.0028,0.8116221,0.4630103,
sef,1,1,0.4805084,0.04130196,2.892552,-15.43734,357.0058,0.8185217,0.4626787,
sef,1,1,0.4909784,0.04129128,2.892555,-15.43734,357.0037,0.8119262,0.4639815,
sef,1,1,0.5024917,0.0412531,2.892566,-15.4373,356.9937,0.815282,0.4587841,
sef,1,1,0.6337472,0.04127102,2.892527,-15.43729,357.0008,0.8192188,0.4512583,
sef,1,1,0.6392766,0.04110946,2.89311,-15.43767,356.9956,0.8033795,0.4354094,
sef,1,1,0.6476803,0.04106978,2.893118,-15.43769,356.9958,0.8179117,0.4411958,
sef,1,1,0.6580654,0.04114929,2.893182,-15.43751,357.0182,0.8147026,0.4470227,
sef,1,1,0.6700355,0.04114044,2.893169,-15.43751,357.0176,0.8180181,0.4405788,
sef,1,1,0.6819085,0.04112147,2.893151,-15.43764,357.0016,0.8048632,0.4548984,
sef,1,1,0.690927,0.04110364,2.893142,-15.43765,356.9994,0.8110597,0.4465795,
sef,1,1,0.7020599,0.04097934,2.892959,-15.43759,357.0076,0.8241333,0.4626882,
sef,1,1,0.713075,0.04096548,2.892948,-15.4376,357.0135,0.8242508,0.461539,
sef,1,1,0.7242432,0.04096561,2.892954,-15.43761,357.0182,0.811904,0.4647523,
sef,1,1,0.7354881,0.04125204,2.892961,-15.43738,357.0298,0.8184078,0.458363,
sef,1,1,0.7466531,0.04123187,2.892965,-15.43738,357.0105,0.8239438,0.4586968,
sef,1,1,0.7579845,0.04138133,2.892982,-15.43725,357.0206,0.8149527,0.4469191,
sef,1,1,0.7685639,0.04136814,2.892994,-15.43725,357.0287,0.8216199,0.441801,
sef,1,1,0.7799816,0.04123623,2.892789,-15.43725,357.0166,0.8246197,0.4643148,
sef,1,1,0.7907937,0.04123559,2.892794,-15.43726,357.0195,0.8211445,0.4566535,
sef,1,1,0.8021508,0.04104281,2.892905,-15.43754,356.99,0.8271549,0.4720926,
sef,1,1,0.8133779,0.04123846,2.892688,-15.43734,357.0121,0.8315827,0.4620998,
sef,1,1,0.8244894,0.04124567,2.892659,-15.43733,357.0016,0.8313908,0.4666754,
sef,1,1,0.8374038,0.04122803,2.892704,-15.43741,356.9984,0.8304549,0.4462948,
sef,1,1,0.8481153,0.0412418,2.892696,-15.43741,357.002,0.828836,0.4520372,
sef,1,1,0.8592948,0.0411783,2.892928,-15.43751,357.0062,0.8300417,0.4429391,
sef,1,1,0.8701276,0.04119094,2.892918,-15.43752,357.0008,0.8273157,0.4465466,
sef,1,1,0.8812807,0.04113937,2.893137,-15.43769,356.9819,0.8225662,0.446931,
sef,1,1,0.8925323,0.0411277,2.893126,-15.43769,356.9866,0.8302867,0.4402906,
sef,1,1,0.9034851,0.04122412,2.892711,-15.43715,357.0146,0.8362682,0.4404165,
sef,1,1,0.9146281,0.04114389,2.892783,-15.43734,356.9979,0.8230667,0.441117,
sef,1,1,0.9261227,0.04111409,2.892785,-15.43734,357.0042,0.8335573,0.4429197,
sef,1,1,0.9372025,0.04127838,2.89279,-15.43722,357.0005,0.8312128,0.4349664,
sef,1,1,0.9464322,0.04129395,2.892783,-15.4372,356.9981,0.8245355,0.4419286,
sef,1,1,0.9575241,0.0410822,2.89284,-15.43734,357.0024,0.8136975,0.4398492,
sef,1,1,0.9699624,0.04107372,2.892843,-15.43734,356.9952,0.8151649,0.4438528,
sef,1,1,0.9813775,0.04105061,2.892451,-15.43723,356.9768,0.8169422,0.4661054,
sef,1,1,0.9909598,0.04103153,2.892572,-15.43739,356.9599,0.8142396,0.4761315,
sef,1,1,1.002798,0.04102333,2.892551,-15.4374,356.9604,0.8191613,0.4682936,
sef,1,1,1.013415,0.04126822,2.892448,-15.43722,356.9765,0.8185427,0.457877,
sef,1,1,1.024478,0.04129085,2.892425,-15.43723,356.9639,0.8145487,0.4522171,
sef,1,1,1.03551,0.04155099,2.892025,-15.43705,356.9622,0.8208295,0.4417776,
sef,1,1,1.046903,0.04156153,2.892005,-15.43705,356.9672,0.8215339,0.4352951,
sef,1,1,1.058931,0.04156319,2.892162,-15.43705,356.9722,0.8306652,0.4256638,
sef,1,1,1.069015,0.04128984,2.892093,-15.43709,356.9826,0.8261439,0.456448,
sef,1,1,1.079986,0.0412797,2.892064,-15.4371,356.9787,0.8243349,0.4557275,
sef,1,1,1.09079,0.04131332,2.892049,-15.43705,356.9692,0.8279831,0.4582387,
sef,1,1,1.104432,0.041297,2.892032,-15.43705,356.9756,0.8356722,0.4568878,
sef,1,1,1.113411,0.04135007,2.89192,-15.43699,356.9862,0.8296931,0.454908,
sef,1,1,1.124774,0.04134725,2.891912,-15.43699,356.9894,0.8349794,0.4554156,
sef,1,1,1.13572,0.04116899,2.891865,-15.43699,356.9665,0.8255845,0.4704392,
sef,1,1,1.146905,0.04118086,2.891861,-15.43699,356.962,0.8225772,0.4644901,
sef,1,1,1.159233,0.04147861,2.891981,-15.43698,356.9762,0.8322775,0.4538852,
sef,1,1,1.16894,0.04163989,2.892001,-15.43692,356.9873,0.8236393,0.4404224,
sef,1,1,1.179554,0.04155042,2.89204,-15.43686,356.9832,0.8330228,0.4485488,
sef,1,1,1.19098,0.04156881,2.892143,-15.43684,356.9859,0.8287744,0.442131,
sef,1,1,1.201859,0.0415562,2.892157,-15.43683,356.9868,0.8346289,0.4452581,
sef,1,1,1.213057,0.04130545,2.891979,-15.43708,356.9664,0.8416886,0.4566637,
sef,1,1,1.223898,0.04129032,2.891967,-15.43709,356.9816,0.8420717,0.4542495,
sef,1,1,1.235186,0.04141563,2.892035,-15.43701,356.9772,0.8456568,0.4444737,
sef,1,1,1.246295,0.04142932,2.892063,-15.43702,356.9726,0.8402592,0.4540379,
sef,1,1,1.257257,0.04114457,2.892114,-15.43709,356.9514,0.8460494,0.4759852,
sef,1,1,1.268467,0.04114898,2.89213,-15.43711,356.9508,0.8446701,0.4836968,
